symbol,sector
FLUOROCHEM,Chemicals
GIPCL,Power
GNFC,Chemicals
GPPL,Services
GSFC,Chemicals
GULFOILLUB,Oil Gas & Consumable Fuels
HGINFRA,Construction
HATHWAY,Media Entertainment & Publication
HATSUN,Fast Moving Consumer Goods
HAVELLS,Consumer Durables
HAWKINCOOK,Consumer Durables
HCC,Construction
HCLTECH,Information Technology
HDFCBANK,Financial Services
HDFCAMC,Financial Services
HDFCLIFE,Financial Services
HCG,Healthcare
HEG,Capital Goods
HEIDELBERG,Construction Materials
HERITGFOOD,Fast Moving Consumer Goods
HEROMOTOCO,Automobile and Auto Components
HESTERBIO,Healthcare
HFCL,Telecommunication
HIKAL,Chemicals
HSCL,Chemicals
HINDOILEXP,Oil Gas & Consumable Fuels
HINDALCO,Metals & Mining
HAL,Capital Goods
HINDCOPPER,Metals & Mining
HINDUNILVR,Fast Moving Consumer Goods
HINDZINC,Metals & Mining
POWERINDIA,Capital Goods
HONDAPOWER,Capital Goods
HONAUT,Capital Goods
HINDPETRO,Oil Gas & Consumable Fuels
HUDCO,Financial Services
HUHTAMAKI,Chemicals
ICICIBANK,Financial Services
ICICIGI,Financial Services
ICICIPRULI,Financial Services
ICRA,Financial Services
IDBI,Financial Services
IDFCFIRSTB,Financial Services
IFBIND,Consumer Durables
IFCI,Financial Services
IIFLCAPS,Financial Services
IIFL,Financial Services
INDIACEM,Construction Materials
INDIAGLYCO,Fast Moving Consumer Goods
ITDC,Consumer Services
IBULLSLTD,Financial Services
INDIAMART,Consumer Services
INDIANB,Financial Services
IEX,Financial Services
INDHOTEL,Consumer Services
INDIANHUME,Construction
IOB,Financial Services
ICIL,Textiles
INDOCO,Healthcare
INDOSTAR,Financial Services
IGL,Oil Gas & Consumable Fuels
INDUSTOWER,Telecommunication
INDUSINDBK,Financial Services
NAUKRI,Consumer Services
INFY,Information Technology
INGERRAND,Capital Goods
INSECTICID,Chemicals
INTELLECT,Information Technology
INDIGO,Services
IOC,Oil Gas & Consumable Fuels
IOLCP,Healthcare
IONEXCHANG,Utilities
IPCALAB,Healthcare
IRB,Construction
IRCON,Construction
IRCTC,Consumer Services
ISGEC,Capital Goods
ITC,Fast Moving Consumer Goods
ITI,Telecommunication
JKIL,Construction
J&KBANK,Financial Services
JAICORPLTD,Diversified
JISLJALEQS,Capital Goods
JAMNAAUTO,Automobile and Auto Components
JINDALPOLY,Chemicals
JINDALSAW,Capital Goods
JSL,Metals & Mining
JINDALSTEL,Metals & Mining
JKCEMENT,Construction Materials
JKLAKSHMI,Construction Materials
JKPAPER,Forest Materials
JKTYRE,Automobile and Auto Components
JMFINANCIL,Financial Services
JSWHL,Financial Services
JSWSTEEL,Metals & Mining
